split,scope,site_id,n_eval,n_missing,mae,rmse,r2,nrmse,daylight_n,daylight_mae,daylight_nrmse
val,SITE,27,6286,5684,6.076150323720332,9.585109440207892,0.881364137686082,0.09670476538906299,6149,6.206896848224162,0.09777537721558502
val,SITE,28,4307,4685,0.3245480638494728,0.6459106315365539,0.5752659267365582,0.1919641522836834,4307,0.3245480638494728,0.1919641522836834
val,SITE,29,4262,4799,0.2929700157106454,0.5774833130349756,0.635122209255113,0.17981805501577514,4262,0.2929700157106454,0.17981805501577514
val,SITE,3,5600,6298,0.8792759273733411,1.3650525527182105,0.8918735417003762,0.10260274368819165,5599,0.8794213908339084,0.10261188521219991
val,SITE,30,4430,4375,0.6658240676733495,0.9913574286673407,0.8538043372300721,0.11940834052289089,4430,0.6658240676733495,0.11940834052289089
val,SITE,31,4933,4705,1.1440502069022045,1.7147326421367348,0.8809998463785383,0.10638349904883322,4933,1.1440502069022045,0.10638349904883322
val,SITE,32,4791,4847,0.5524469317685237,0.8550116426322373,0.8348628180048994,0.11778984556106699,4791,0.5524469317685237,0.11778984556106699
val,SITE,33,4935,4703,1.3193675482285179,2.0081236246079146,0.8791790112860943,0.10709574277207035,4934,1.3196178371238476,0.10710657586557391
val,SITE,34,5313,5535,0.3454081516312539,0.5771217863114986,0.7821727802133869,0.1457931933348895,5313,0.3454081516312539,0.1457931933348895
val,SITE,35,5276,5614,0.4660713791033822,0.6791349468608305,0.8574175705580758,0.11450304204997913,5276,0.4660713791033822,0.11450304204997913
val,SITE,36,4876,4762,0.7875783346636164,1.1624787651546256,0.8615216800249619,0.11569426139744743,4876,0.7875783346636164,0.11569426139744743
val,SITE,37,4904,4734,0.7609355699082572,1.1278342904705476,0.8584094776040063,0.113301389749336,4904,0.7609355699082572,0.113301389749336
val,SITE,38,5092,4546,0.8654804137028397,1.2526920036133702,0.874039808402849,0.11095445761323734,5092,0.8654804137028397,0.11095445761323734
val,SITE,39,4405,4400,0.5090259707880616,0.7370154369776913,0.8660362279926885,0.11439239218873148,4405,0.5090259707880616,0.11439239218873148
val,SITE,4,3276,3807,0.2543544278040037,0.633830832101456,-0.1876666495814241,0.3345581299339644,3275,0.25441342310141063,0.33460872834626904
val,SITE,40,4953,4685,1.0833797258438305,1.6812674556707434,0.8797585288864651,0.10181966618762213,4953,1.0833797258438305,0.10181966618762213
val,SITE,41,5573,6325,1.2588808899740331,2.0112594884543324,0.9171532370061093,0.09220673872570005,5565,1.2604076849054027,0.09227203790303011
