model,protocol,split,scope,site_id,n_eval,n_missing,mae,rmse,r2,nrmse,daylight_n,daylight_mae,daylight_nrmse
gru,seen,val,SITE,4,3276,3807,0.31517019332983554,0.7381886745328553,-0.61095197895719,0.007447514240821092,3275,0.31521501031540733,0.007448592019291193
gru,seen,val,SITE,40,4953,4685,1.0881877158257591,1.7002680856534504,0.8770253841850087,0.017153840499017428,4953,1.0881877158257591,0.017153840499017428
gru,seen,val,SITE,41,5573,6325,1.2129180886128124,2.015163717817638,0.9168312828200564,0.020330792118329718,5565,1.2144691971113097,0.020345240042163495
gru,seen,val,SITE,42,5623,6275,0.4592742650678059,0.773833791972297,0.8332993623856167,0.007807134387952144,5623,0.4592742650678059,0.007807134387952144
gru,seen,val,SITE,5,3056,4027,0.33681506511428594,0.7656957099817724,-0.6300673932198131,0.007725030064750822,3055,0.3368528871801598,0.0077261887224295694
gru,seen,val,SITE,6,3274,3032,1.6751552625771478,2.723292315663089,0.9201927633798815,0.027475033148746584,3251,1.6861102197471673,0.027571737298712685
gru,seen,val,SITE,8,3333,2973,1.6653901862554497,2.5762859614453886,0.9234543415363237,0.025991900239371684,3322,1.670401589903467,0.026034701596064354
gru,seen,test,ALL,,138960,151284,1.3631575696809441,2.9483055064593917,0.9467393251644792,0.029745169498221927,138488,1.3666343950524942,0.029794752410634676
gru,seen,test,SITE,1,6007,5891,1.266374106373032,2.0359652890815,0.9128723002336916,0.020540657161730855,5993,1.2689204502837717,0.02056440817197246
gru,seen,test,SITE,10,5824,6074,0.6497204463396754,0.8977230249028738,0.8772752421278067,0.009057040893384187,5824,0.6497204463396754,0.009057040893384187
gru,seen,test,SITE,11,3085,3221,4.84732412920972,8.169607459512253,0.9205241358214635,0.08242238061311209,3040,4.911791519193273,0.08302750493449226
gru,seen,test,SITE,12,5577,6321,1.2401638134461652,1.9263069066787855,0.8829566173228972,0.01943432433281494,5570,1.241454998423852,0.019446341470151354
gru,seen,test,SITE,15,4777,4976,1.239825294385626,1.855617234618377,0.8829881410130711,0.01872114305882422,4775,1.2402066811466717,0.018724882024661882
gru,seen,test,SITE,17,4585,5053,0.6684309225175997,0.9845356842687297,0.877948490031168,0.009932885429091685,4585,0.6684309225175997,0.009932885429091685
gru,seen,test,SITE,18,4566,4710,2.315377391904162,3.610040445183158,0.8822866010087599,0.03642134938260293,4564,2.3163674913614494,0.0364293258387299
gru,seen,test,SITE,19,4645,4791,2.6435151352179194,4.180431202243869,0.8882954648100677,0.0421759666404884,4642,2.645132820085429,0.04218957150330553
gru,seen,test,SITE,2,5972,5926,1.1053226952654998,1.769258335390542,0.9161493000035984,0.01784987646532366,5962,1.1070097935995533,0.017864729289708257
gru,seen,test,SITE,20,4664,4974,1.1285599335695826,1.6869079216533163,0.8759677326167132,0.017019051094785954,4663,1.12877824744671,0.017020868062212965
gru,seen,test,SITE,21,4559,5079,0.6259618235356088,0.8900370642021341,0.8529916764903487,0.008979497978208234,4559,0.6259618235356088,0.008979497978208234
gru,seen,test,SITE,22,4618,5020,1.0289466575710946,1.5327196608688576,0.8725133465622703,0.015463460623709737,4617,1.029139402807598,0.015465121375580888
gru,seen,test,SITE,23,4223,4582,0.9232616998165274,1.3353797903097182,0.862472838295752,0.013472517729332443,4222,0.9234448308235432,0.013474092997393994
gru,seen,test,SITE,24,4708,4930,0.9319705048555424,1.3530796650160302,0.8683662130972143,0.013651090055735888,4707,0.9321379902663189,0.013652523727983387
